Id,run,Medium,conditions,,,
1,run2,CM,CM + CM,1.130488587,1.084358164,0.785153249
2,run2,CM, Forsk + CM,0.684333888,0.350345383,0.685717377
3,run2,CM, PD16 + CM,,,
4,run2,CM, Forks + PD16,,,
5,run2,CM, IWP2 + CM,0.861636423,0.933538043,0.692816261
6,run2,CM, IWP2  + Forsk ,0.570519967,0.637062038,0.696954537
7,run2,CM,PD03 + CM,,,
8,run2,CM,PD03+Forsk,,,
9,run2,CM,IGFI + CM,,,
10,run2,CM,IGFI + Forsk,,,
11,run2,CM,LDN + CM,,,
12,run2,CM,LDN+Forsk,,,
13,run2,CM,IGFI+ LDN,,,
14,run2,CM,TGF,,,
15,run2,CM,TGF+PD03,,,
16,run2,CM2,CM2 + CM2,,,
17,run2,CM2,Forsk + CM2,,,
18,run2,CM2,ITSA1 +  CM2,,,
19,run2,CM2,ITSA1 + Forsk,,,
22,run3,CM,CM + CM,0.850349023,1.155782333,0.993868644
23,run3,CM, Forsk + CM,0.898436621,0.654588498,0.566625345
24,run3,CM, PD16 + CM,1.14188796,1.017606674,0.959011603
25,run3,CM, Forks + PD16,0.477327017,0.505692169,0.505998495
26,run3,CM, IWP2 + CM,,,
27,run3,CM, IWP2  + Forsk ,,,
28,run3,CM,PD03 + CM,1.579598847,1.210819683,
29,run3,CM,PD03+Forsk,0.823323858,1.00868699,0.903026471
30,run3,CM,IGFI + CM,,,
31,run3,CM,IGFI + Forsk,,,
32,run3,CM,LDN + CM,0.756913197,0.706717277,0.83344001
33,run3,CM,LDN+Forsk,0.568256023,0.684921034,0.57925519
34,run3,CM,IGFI+ LDN,,,
35,run3,CM,TGF,,,
36,run3,CM,TGF+PD03,,,
37,run3,CM2,CM2 + CM2,,,
38,run3,CM2,Forsk + CM2,,,
39,run3,CM2,ITSA1 +  CM2,,,
40,run3,CM2,ITSA1 + Forsk (CM2),,,
43,run4,CM,CM + CM,,,
44,run4,CM, Forsk + CM,,,
45,run4,CM, PD16 + CM,,,
46,run4,CM, Forks + PD16,,,
47,run4,CM, IWP2 + CM,,,
48,run4,CM, IWP2  + Forsk ,,,
49,run4,CM,PD03 + CM,,,
50,run4,CM,PD03+Forsk,,,
51,run4,CM,IGFI + CM,,,
52,run4,CM,IGFI + Forsk,,,
53,run4,CM,LDN + CM,,,
54,run4,CM,LDN+Forsk,,,
55,run4,CM,IGFI+ LDN,,,
56,run4,CM,TGF,,,
57,run4,CM,TGF+PD03,,,
58,run4,CM2,CM2 + CM2,,,
59,run4,CM2,Forsk + CM2,,,
60,run4,CM2,ITSA1 +  CM2,,,
61,run4,CM2,ITSA1 + Forsk (CM2),,,
64,run5,CM,CM + CM,1.011895458,0.979949236,1.008155306
