conditions index,conditions,RL09,RL08,RL10
1,Control,1.003,1.22156497,1.0148625
1,Control,1.001,0.958852406,0.95303781
1,Control,0.996,0.819582623,1.03209969
2,PKA[+] 1uM,0.648,0.544240226,0.459612155
2,PKA[+] 1uM,0.702,0.679567664,0.367903997
2,PKA[+] 1uM,0.766,0.50172621,0.400378895
3,PKA[+] 3125nM,0.682,0.58019049,0.387212365
3,PKA[+] 3125nM,0.631,0.487959041,0.400281119
3,PKA[+] 3125nM,0.585,0.667807212,0.488248358
4,PKA[+] 625nM,0.703,0.561673773,0.541113877
4,PKA[+] 625nM,0.672,0.573065816,0.371284794
4,PKA[+] 625nM,0.646,0.516156088,0.488987881
5,PKA[+] 125nM,0.712,0.901353288,0.635442127
5,PKA[+] 125nM,0.904,1.386481916,0.768913148
5,PKA[+] 125nM,1.019,1.30202122,0.447695577
6,PKA[+] 25nM,0.869,1.002238317,1.096344457
6,PKA[+] 25nM,0.951,1.089854501,1.113796235
6,PKA[+] 25nM,0.786,0.980525443,1.038603739
7,FGFR1[-] 625nM,0.671,0.72356758,0.746118615
7,FGFR1[-] 625nM,0.62,0.563236575,0.729395286
7,FGFR1[-] 625nM,0.676,0.875016328,0.684587001
8,FGFR1[-] 125nM,0.991,1.069926791,1.022248171
8,FGFR1[-] 125nM,0.948,1.155978405,1.067828883
8,FGFR1[-] 125nM,1.058,0.823430377,1.078073484
9,FGFR1[-] 25nM,0.979,1.309199339,0.851313408
9,FGFR1[-] 25nM,0.975,0.455088354,0.931851597
9,FGFR1[-] 25nM,1.132,0.994549762,0.947125831
10,FGFR1[-] 5nM,1.272,0.732563126,0.599781971
10,FGFR1[-] 5nM,1.039,0.788981449,0.514214928
10,FGFR1[-] 5nM,1.042,1.074549102,0.579284221
11,F 3125nM + P 625nM,0.439,0.325588063,0.259203464
11,F 3125nM + P 625nM,0.458,0.311368897,0.275737462
11,F 3125nM + P 625nM,0.459,0.244030009,0.368756687
11,F 3125nM + P 625nM,,0.268388818,
12,F 625nM + P 125nM,0.712,0.471833568,0.38862802
12,F 625nM + P 125nM,0.79,0.487257161,0.357834926
12,F 625nM + P 125nM,0.645,0.581678158,0.535950228
13,F 125nM + P 25nM,0.804,0.546007939,0.464190783
13,F 125nM + P 25nM,1.052,0.758884751,0.718246881
13,F 125nM + P 25nM,1.016,0.680974156,0.41891027
14,F 25nM + P 5nM,1.15,0.686953519,0.480348745
14,F 25nM + P 5nM,1,0.981310597,0.576959246
14,F 25nM + P 5nM,0.988,1.155414089,0.524345021
15,PKA[+] + FGFR1[-] 125nM,0.567,0.407471585,0.354635175
15,PKA[+] + FGFR1[-] 125nM,0.586,0.470964345,0.362931023
15,PKA[+] + FGFR1[-] 125nM,0.503,0.439217965,0.276032133
16,PKA[+] + FGFR1[-] 625nM,0.5,0.320853785,0.257103641
16,PKA[+] + FGFR1[-] 625nM,0.653,0.296841646,0.270147273
16,PKA[+] + FGFR1[-] 625nM,0.494,0.446025731,0.256739689
17,F 1uM + P 1uM,0.466,0.395961846,0.253404514
17,F 1uM + P 1uM,0.476,0.509859523,0.256672893
17,F 1uM + P 1uM,0.501,0.584509526,0.299488867
